datum,stijl,bezetting,liturgie
2023-03-19,,,"Welkom en opening van de dienst
Psalm 84 (opw. 715)
Leefregel
Psalm project 136
Gebed voor de opening van het Woord
Bijbellezing: Joh. 9: 1-41
Open the eyes of my heart Lord
Preek
Opw. 785 – Fundament
Voorbeden en collecte
Kindermoment bij het kruis
 Slotlied: 40dagen themalied
Zegen"
2023-03-26,,,"Votum en groet
Psalm 16:1-3 nieuwe psalmberijming
Gebed
Psalm 130 :1-2 nieuwe psalmberijming
Johannes 11 : 28-44
Gezang 161
Lazarus van Betanië
Johannes 11 : 33-38        
 Jezus’ botsende emoties aan het graf
Gezang 244 
Alle mensen moeten sterven
Gebed 
I Know that my Redeemer liveth
Collecte
Weg van nieuwe leven (Ef 5 : 10-17)
NLB 804 
De Heer heeft naar mij omgezien
Zegen
Als amen: Gezang 157 : 3 
Eens zal er vrede zijn"
2023-04-02,,,"Welkom, votum en groet
Lied: Hosanna (opw. 685) 
Leefregel: Matt. 19,16-21
Lied: Fundament (opw. 785)
Kinderen gaan naar de chrisclub
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 21,1-17
Lied: Heer u bent welkom (opw. 573)
Preek: waar hoop jij op?
Lied: Een toekomst vol van hoop
Aankondigingen en voorbeden
Collecten (Sons of Korah, Psalm 24)
Kinderen komen terug van de chrisclub en laten hun PalmPaastakken zien. 
Lied: ‘Meer en meer’ (opw. 181)
Slotlied: Juich, want Jezus is Heer!
Zegen"
2023-04-07,,,"Welkom en openingsgebed (zoals in de vespers: gesproken met woord en antwoord, teksten via de beamerscherm). 
Lied: NLB 556 (‘Alles wat over ons geschreven staat’)
Psalm en lezingen:
(orgelspel)
Matteüs 26: 1-5
 DNP Psalm 22: 1
Matteüs 26: 6-16
 GK Psalm 22: 2
Matteüs 26: 17-25
 GK Psalm 22: 3
Matteüs 26: 26-30
 GK Psalm 22: 12
Matteüs 26: 31-46
 GK Psalm 22: 4, 5
Matteüs 26: 47-56
 DNP Psalm22:2
Matteüs 26: 57- 75
 GK Psalm 22: 9
Matteüs 27: 1-26
 DNP Psalm 22: 3
Matteüs 27: 27-44
 GK Psalm 22: 8
Matteüs 27: 45-61
 DNP Psalm 22: 7
(Stilte)
Gebeden
Lied: NLB 835 (‘Jezus ga ons voor’)
Zegenbede (zoals bij de vespers, woord en antwoord, tekst via beamerscherm). 
We verlaten vervolgens in stilte de kerk. "
2023-04-09,,,"Terwijl het Paaslicht wordt binnengebracht en de nieuwe Paaskaars wordt ontstoken, zingen we: 'Morning has broken' en 'Licht van de wereld.'
Welkom, belijdenis van afhankelijkheid en Paasgroet.
Lied: 'Daar juicht een toon.'
Lied: 'Juicht want Jezus is Heer.'
Kindermoment en kinderlied: 'Meer en meer.'
Gebed voor de opening van het Woord.
Bijbellezingen: Johannes 20,1-18 en Kolossenzen 3,1-11.
Lied: 'Omdat Hij leeft.'
Preek.
Lied: 'Christus onze Heer verrees.'
Aankondigingen, gebeden en collecte.
Viering van de Maaltijd. Tijdens de viering de volgende liederen: Psalm 118:5,6 (DNP); 'De kerk van alle tijden' en 'For ever' (Kari Jobe). Na de viering (dankzegging): Psalm 118:7 (DNP).
Afsluiting en zegen, gevolgd door:
Lied: 'U zij de glorie'."
2023-04-16,,,"Stil gebed
 Votum en groet
 We zingen: Psalm 30: 1, 2 (allen), 3 (mannen), 4 (vrouwen/kinderen), 5 (allen)
 Leefregel: Filippenzen 4:4-9
 We zingen: Psalm 32
 Gebed
 Kindermoment
 Schriftlezing: Johannes 20:19-31
 Preek
 We zingen: Lied 885: Groot is uw trouw o Heer
 Gebeden
 Inzameling van de liefdegaven
 We zingen: Opwekking 58: Vrede zij u
 Zegen"
2023-04-23,,,"Opening van de dienst: welkom, votum en groet
 Openingslied: 
10.000 redenen
 Geloofsbelijdenis (Nicea)
 Lied: 
Jezus alleen
 Kindermoment en gebed
 Bijbellezing: Johannes 20,19-31
 Preek
 Lied: psalm 68 (Gereformeerd Kerkboek), vers 2,3 en 8
 Voorbeden
 Collecten (met lied: 
Agnus Dei
)
 Slotlied: 
Zegekroon
 Zegen"
2023-04-30,,,"Openingslied:
 Ik heb mijn ogen (opw. 640)
 Welkom, votum en groet
Lied: 
Vul dit huis met Uw Glorie (opw. 815)
Leefregel: Romeinen 12:1-2
Lied: 
Machtige Heer (Opw. 598)
Kindermoment
Gebed voor de opening van het Woord
Bijbellezing: Jeremia 1 & Lukas 14: 15-24
Lied: 
Als een hert (Opw. 281)
Preek: 
‘Je bent geroepen/uitgenodigd!’
Lied: 
Reckless love
Aankondigingen en voorbeden
Collecten 
(Sons of Korah, Psalm 1)
collecte doel: Delft Impact project DSF
Slotlied: 
Laat het feest zijn in de huizen (Opw. 553)
Zegen
 De kerkdienst wordt gehouden in de Immanuelkerk en wordt ook uitgezonden via Youtube
Klik 
hier
 om de dienst van deze week te bekijken"
2023-05-07,,,"Opening van de dienst
NLB 632: ‘Dit is de dag die de Heer heeft gemaakt en gegeven.’
Geloofsbelijdenis 
Psalm 133 (DNP)
Kindermoment
Gebed (verootmoediging)
GK 168: ‘Vader vol van vrees en schaamte’
Bijbellezing: Johannes 21,1-14
Preek
Lied: ’Thy hand o Good has guided’
Aankondigingen, voorbeden en collecten
Inleiding op de viering van de Maaltijd
Lied: ’Samen in de naam van Jezus’
Viering van de Maaltijd
Dankzegging
Lied: ’Toekomst vol van hoop’ (Sela)
Zegen"
2023-05-14,,,"Opening van de dienst
Lied: Psalm 136 (the Psalm Project)
Voorlezing van de 10 geboden
Lied: Kom tot de Vader (Opw. 599)
Inleiding op de Heilige Doop, gevolgd door:
Lied: ‘Doop’ (Sela)
Bediening van de H. Doop, gevolgd door:
Lied: Heer u bent altijd bij mij (Opw. 518)
Kinderen gaan naar de chrisclub
Gebed voor de opening van het Woord
Bijbellezing: Johannes 21,15-25
Preek
Antwoordlied: Psalm 32 (Psalm Project)
Voorbeden
Collecte
Slotlied: Toekomst vol van Hoop (Sela) 
Zegen"
