datum,stijl,bezetting,liturgie
2023-09-03,KB,Juliëtte+ Jonathan jr,"Openingslied: 
met open armen
 Votum en groet
 Welkom,
Belijdenis(lied): 
Ik geloof in God de Vader
 Kinderlied: 
Liefde, blijdschap, vrede
 Gebed 
(Kinderen naar de CC)
Lied ter voorbereiding op de lezing: 
wees stil voor het aangezicht van God
 Bijbellezing: Galaten 5: 13-26
 Preek 
(focus verzen Galaten 5: 13&14)
 Antwoordlied: 
Mijn verlosser leeft
 Voorbede en collecte 
(lied tijdens collecte: Licht van de wereld)
 Slotlied: 
Juicht, want Jezus is Heer
 Zegen"
2023-09-10,Band,Abba,"Welkom en opening van de dienst
 Psalm 121 (Opw. 640)
 Leefregel
 Lied: laat ons samen één zijn (Sela)
 Bediening van de Heilige Doop aan Florian van Tatenhove
 Na de doop: Zegekroon (Opw. 764)
 Gebed en bijbellezing: Genesis 44,32 - 45,15
 Antwoordlied: Breng ons samen (Opw. 797)
 Voorbeden en collecte (tijdens collecte: Heer vergeef ons - SvG)
 Slotlied: Toekomst vol van hoop
 Zegen"
2023-09-17,Orgel,Mattijs,"Welkom
 Stil gebed, votum en groet
 Lied: Psalm 27 : 1 2 (DNP)
 Gods wil voor ons leven
 Lied: Liedboek 38 : 1 4
Gebed
 Kindermoment, chrisclub
 Lezing: Job 1:1-5 en 2:1-13
 Lied: Psalm 102 : 1 4 (DNP)
 Verkondiging over: Niet ‘voor’ maar ‘bij’
 Lied: Opwekking 378
Mededelingen
 Gebeden
 Inzameling van gaven: Noodhulp voor Marokko
 Lied: Gezang 864 : 1 2
 Zegen
 Amenlied: Liedboek 864 : 5"
2023-09-24,KB,Luuk,"Welkom en opening van de dienst
 Openingslied: ‘Groot is uw trouw o Heer’
 Leefregel: Romeinen 12
 Lied: ‘Heer U bent mijn leven de grond waarop ik sta'
 Kinderen gaan naar de Chrisclub (lied: 'Laat de kinderen tot mij komen')
 Gebed voor de opening van het Woord
 Bijbellezing: Genesis 48,8-20
 Preek
 Psalm 84
 Voorbeden en collecten
 Viering van het Heilig Avondmaal
 Dankzegging: Psalm 136 (the Psalm Project) 
 Zegen"
2023-10-01,Band,A Cappella,"Votum en groet
 Opw 815: 
Vul dit huis met uw glorie
 Geloofsbelijdenis
 Opw 174: 
Juicht want Jezus is Heer
 Gebed
 Lezen: Openbaringen 11
 Opw 638: 
Prijs Adonai
 Preek 
(Ds. R. Heij)
 Lied 
“In de hemel is de Heer”
 Mededelingen
 Gebed
 Collecte 
Financiële ondersteuning
 Opw 585: 
Er is een dag
 Zegen"
2023-10-08,Orgel,Arjan," Welkom en opening van de dienst
 Lied: dank u voor deze nieuwe morgen (NLB 218)
 Leefregel: 1 Tess. 5,12-24
 Lied: Psalm 150 (NLB 150a: ‘Geprezen zij God’)
 Kindermoment: waarom sorry zeggen vaak best moeilijk is
 Kinderlied: '7 maal 70 maal' (Elly & Rikkert)
 Bijbellezing: Genesis 50,15-21
 Lied: Psalm 95:1,2 (
denieuwepsalmberijming.nl
)
 Preek
 Lied: 'Genade zo oneindig groot' (NL vertaling van ‘Amazing Grace’)
 Aankondigingen en mededelingen
 Voorbeden
 Collecten
 Slotlied: 'Ga nu heen in vrede' (uit de bundel van Joh. de Heer, op de wijs van ‘Land of Hope and glory’)
 Zegen"
2023-10-15,Band,VGSD,"Start: we oefenen het lied ‘dan bent u met ons’ (Schrijvers voor Gerechtigheid)
 Opening van de dienst, votum en begroeting
 Lied: 'Heer uw licht en uw liefde schijnen' (Opw. 334)
 Geloofsbelijdenis (Nicea)
 Lied: ‘Heer onze God, hoe heerlijk is uw naam’ (Opw. 70)
 Verootmoediging en schuldbelijdenis
 Lied: 'Dan bent u met ons'
 Bijbellezing (I): Genesis 1,20 - 2,3
 Lied: 'zie de zon, zie de maan'
 Bijbellezing (II): Psalm 8
 Preek
 Psalm 24:1-3 (DNP)
 Voorbeden
 Aankondigingen en mededelingen
 Collecte (tijdens collecte: 'Glorie heeft een naam')
 Slotlied: 'Wij blijven geloven'
 Zegen"
2023-10-22,Orgel,Jan,"Opening van de dienst
 Lied: 'Zomaar een dak' (NLB 276)
 Leefregel: Matteus 5,38-48
 Lied: 'Geef vrede Heer, geef vrede' (NLB 1010)
 Kinderen gaan naar de chrisclub
 Gebed voor de opening van het Woord
 Bijbellezing: Lucas 12,22-34
 Lied: ‘Zoek eerst het koninkrijk van God’ (canon)
 Preek
 Psalm 138 (DNP)
 Voorbeden en collecten
 Inleiding op de viering van het Heilig Avondmaal, gevolgd door:
 Lied: 'Genadig Heer' (NLB 381,1-5)
 Viering Heilig Avondmaal
 Dankzegging (en slotlied): Psalm 103 (NLB 103c in wisselzang) 
 Zegen en gezongen amen"
2023-10-29,KB,Marloes,"Welkom
 Stil gebed
 Zingen votum en groet (Sela)
 Gebed van verootmoediging en om de opening van het Woord
 Zingen : Psalmen van nu 130: 
Uit de diepte roep ik U
 Kindermoment
 Bijbellezing: Genesis 9: 1-17
 Verkondiging: 
God geeft een nieuw begin
 Luisterlied: 
Nog altijd wie U was
 Zingen: Opwekking 407: 
Hoe groot zijt Gij
 Mededelingen en voorbeden
 Collecte
 Zingen: Opwekking 770: 
Ik zal er zijn 
(Sela)
 Geloofsbelijdenis
 Zingen: Gezang 416: 
Ga met God en Hij zal met je zijn
 Zegen"
2023-11-05,Band,Cornerstone,"Welkom en opening van de dienst
 Lied: 10.000 redenen
 Leefregel: de tien geboden 
 Lied: 'Dankt dankt nu allen God'
 Kindermoment
 Lied: 'Dank U voor deze nieuwe morgen'
 Gebed voor de opening van het Woord
 Bijbellezingen: Micha 6,1-8 en 1 Tim. 4,1-5
 Preek
 Antwoordlied: Psalm 67 (DNP)
 Dankgebeden (met refrein uit Ps. 67) 
 Mededelingen en collecte
 Slotlied: 'Toekomst vol van Hoop'
 Zegen"
2023-11-12,KB,Marnix,"(Bij mededeling van het overlijden van broeder Bert Mostert: ‘Dankt, dankt nu allen God’)
 Opening van de dienst
 Lied: 'Onze schuilplaats'
 Geloofsbelijdenis 
 Gebed om vergeving
 Lied: 'Hier is mijn hart, Heer'
 Kinderen gaan naar de chrisclubs
 Bijbellezen: Jesaja 32,15-20 en Jakobus 2,14-17; 3,7-18
 Preek
 Lied: 'Licht aan'
 Aankondigingen en mededelingen
 Inzameling van de gaven
 (verzamelen gebedspunten en) voorbeden. Inleiding op het gebed: 'Beauty for brokeness'
 Slotlied: Psalm 98 (PvN)
 Zegen"
2023-11-14,,,"Dankdienst voor het leven van br. Bert Mostert (29 januari 1942 - 8 november 2023). De samenkomst wordt gehouden in de Immanuelkerk en wordt ook uitgezonden via Youtube
Klik 
hier
 om de samenkomst te bekijken
Locatie
Immanuelkerk"
2023-11-19,Orgel,Mattijs," Welkom
 Stiltemoment
 Psalm 121 vers 1 als votum
 Christelijke groet
 Psalm 146 vers 1 t/m 3
 Lied 1005 Zoekend naar licht, couplet 1 t/m 5 
 Gebed voor opening van Gods Woord en de Chrisclub
 Bijbellezing: Nahum 1:1 – 2:3
 Zingen: Psalm 2 vers 1 en 2 
 Preek​​​​​​
 Lied: Ik geloof in God de Vader, couplet 1 t/m 3
 Collecte
 Voorbedegebed 
 De 10 woorden als wegzending
 Lied: Ik geloof in God de Vader, 4
 Zegen"
2023-11-26,Band,Abba,"Opening van de dienst
 Lied: 
Verwachten
 (Sela)
 Geloofsbelijdenis 
 Lied: 
Heer u bent mijn leven
 (vs. 1 en 4)
 Kinderlied: 
‘k stel mijn vertrouwen op de Heer mijn God
Bijbellezing: Psalm 42
 Psalm: 
Als een hert dat verlangt naar water
 Preek: lessen van de ziel uit Psalm 42
 Lied: 
Op U alleen, mijn licht, mijn kracht, stel ik mijn hoop, U zorgt voor mij
.
Collecten
 Voorbeden
Gedenken (daarbij: 
Psalm 121
, 
de mensen die we missen
 en: 
Abba Vader, U alleen
).
Slotlied: 
Toekomst vol van hoop
 Zegen"
2023-12-01,,,"Bruidspaar komt samen binnen (lied: 
Elohim
) 
 Welkom en opening van de dienst
 Lied: 
U maakt ons één
 Gebed en Bijbellezing: 1 Korintiers 13
 Overdenking
 Antwoordlied: 
Toon mijn liefde
 Onderwijs over het huwelijk
 Lied: 
Gebed om zegen
 Beloften en wisselen van de ringen
 Zegen voor het bruidspaar
 Lied: 
De zegen
 Aankondiging collecte
 Slotlied: 
Our God is an awesome God
 Zegen voor iedereen
 [Uitlooplied: 
Goodness of God]
Locatie
Immanuelkerk"
2023-12-03,Orgel,Jan,"Zingen: Psalm 96:1,2,4,5 (NPB)
 Stil gebed
 Votum en zegengroet
 Zingen: Kom tot ons Heer (Sela, themalied)
 Geloofsbelijdenis
 Zingen: Gezang 439 (NieuweLiedBoek)
 Gebed voor de opening van het Woord
 Kindermoment
 Eerste Schriftlezing: Jesaja 5:1-7
 Tweede Schriftlezing: Filippenzen 1:1-11
 Verkondiging
 Zingen: Gezang 78 (Oude Liedboek, 1973)
 Afkondigingen en voorbede gebed
 Collecte
 Zingen: Gezang 444 (NieuweLiedboek)
 Zegen"
2023-12-10,KB,Luuk,"Adventslied:
Kom tot ons, heer 
 Adventsgedicht en kaarsen aansteken 
Welkom en opening van de dienst
 Lied: Onze Schuilplaats 
 Kindermoment
Lied: Way Maker
 Gebed voor de opening van het Woord
 Bijbellezingen: Psalm 13:1-6
Preek: '
Zicht houden op God!
'
 Antwoordlied: Psalm 13  (opw 778)
Getuigenis/gesprek met thema gast
 Gebed
Mededelingen
 Slotlied: 'Our God'
Zegen
 Collecte bij de deur"
2023-12-17,Band,A Capella,"Adventstekst en aansteken adventskaars
 Welkom en opening van de dienst
 Adventslied: 
Kom tot ons Heer 
(Sela)
 Geloofsbelijdenis
 Lied: 
We are one in the Spirit 
(Opw. 8)
Kindermoment: weet jij hoe laat het is?
 Kinderen gaan naar de Chrisclubs
Bediening van de Heilige Doop
 Lied: 
Zegenwens 
(Elly & Rickert)
 Gebed voor de opening van het Woord
 Bijbellezing: Filippenzen 3,1 - 4,1
 Preek
 Antwoordlied: 
Op U alleen 
(NLB 939)
Voorbeden
 Collectie
Slotlied: 
God ik adem om van U te zingen 
(Psalmen voor Nu 145)
 Zegen"
2023-12-23,,,"Dankdienst voorafgaand aan de uitvaart van zr. A de Gelder-Klapwijk
Condoleren vanaf 10:30
De samenkomst wordt ook uitgezonden via YouTube
 Klik 
hier
 voor de link naar de uitzending."
2023-12-24,KB,Juliëtte e.a.,"Adventstekst en aansteken adventskaars
 Lied: Kom tot ons Heer (Sela)
Welkom en opening van de dienst
 Lied: 10.000 redenen (opwekking 733)
 Leefregel (Efeziërs 5)
 Lied: Loof de Heer mijn ziel (Psalm Project 103)
Kindermoment 
Gebed
 Bijbellezing: Filippenzen 4,2-9
 Preek
 Lied: Licht van de wereld (opwekking 595)
Voorbeden
 Collecte
Lied: My light house
 Zegen"
2023-12-24,Orgel,Jan,"kerstavondzangdienst met inloop voor ontmoeting vanaf 20.30u
De samenkomst is ook te volgen via de 
livestream
PROGRAMMA KERSTAVONDZANGDIENST 2023 IMMANUELKERK
Opening
 Zingen
: Once in Royal David’s city
Lezing
: Genesis 3: 8-19 (NBV'21)
Zingen
: Op aarde plant het kwaad zich voort / O kom o kom Immanuël
Lezing
: Genesis 22: 15-18 (NIV)
Zingen
: Inspired by love and anger 
Lezing
: Jesaja 9: 2, 6 en 7 (NBV’21)
Zingen:
 Als een hert dat verlangt naar water / As the dear pants fort he water
Lezing
: Jesaja 11: 1-4, 6-9 (NIV)
Zingen:
 A great and mighty wonder (Es ist ein Ros entsprungen)
Lezing
: Lucas 1: 26-35, 38 (NBV’21)
Zingen
: Mijn ziel maakt groot de Heer 
Lezing
: Lucas 2: 1, 3-7 (NIV)
Zingen:
 O kindeke Klein, o kindeke teer
Lezing
: Lucas 2: 8-16 (NBV’21)
Zingen
: Hoor, de engelen zingen de eer
Lezing
: Mattheus 2: 1-11 (NBV’21)
Zingen
: Nu zijt wellekome 
Lezing
: Johannes 1: 1-14 (NIV)
Zingen
: Komt allen tezamen / O come, all ye faithful 
Zegen
Locatie
Immanuelkerk"
2023-12-25,Band,Cornerstone,"Welkom: 'Komt allen tezamen'
 (Iedereen begroet elkaar)
 Groet namens God
 Lied: 'Joy to the world/ God maakt vrij.'
Kindermusical ‘De Kleine Klok’
Gebed en bijbellezingen: Johannes 1,14-18 en Galaten 4,4-7
 Preek / overdenking
 Lied: ‘Nu is het feest, het is zover.’
Voorbeden en collecte
Lied: ‘Vrolijk kerstfeest iedereen’ en ‘ere zij God’
 Zegen"
2023-12-31,Orgel,Christoffel,"Welkom en opening van de dienst
 Psalm 93 (DNP)
 Geloofsbelijdenis
 Lied: ‘God is getrouw zijn plannen falen niet’ (GKB 250:1,3)
Gebed en bijbellezingen: Fil. 4,10-20 en Lucas 1,68-79
 Preek
 Lied: 'Wij trekken in een lange stoet' (NLB 506)
Voorbeden en collecte
Viering Heilig Avondmaal: inleiding - lied: 'Jezus leeft in eeuwigheid' (GK 228) - gebed - opwekking en viering.
Dank- en slotlied: ‘Dank, dank nu allen God’ (NLB 704)
 Zegen"
2024-01-07,KB,Martien,"Welkom
 Lied: Onze hulp en onze verwachting (Sela)
 Groet
 Lied: Hoe groot zijt Gij (Opw 407)
 Leefregel
 Kindermoment
 Gebed
 Lezen: Numeri 6: 22-27
 Lied: Eén ding vraag ik (Psalm 27:2, de nieuwe psalmberijming)
 Preek over Numeri 6: 22-27
 Lied: op U alleen (nieuwe liedboek 939)
 Voorbedegebed
 Lied: gebed om zegen (Opwekking 710)
 Mededelingen en collecte 
 Lied: Ga met God en Hij zal met je zijn (Liedboek 416)
 Zegen"
2024-01-14,Band,VGSD,"Opening van de dienst
 Lied: 
Juicht, want Jezus is Heer!
 Leefregel: Lucas 6,36-38
 Lied: 
uw Woord is een lamp voor mijn voet
 (kinderen gaan naar de Chrisclub)
Gebed voor de opening van het Woord
 Bijbellezing (1): Jesaja 40,1-5
 Lied: 
Psalmen voor Nu 121
 Bijbellezing (2): Johannes 1,19-34
 Preek
 Lied: 
Prijs Adonai 
(Opw. 638)
Voorbeden
 Collecte (en mededelingen)
 Slotlied: 
Regeer in mij 
(Opw. 569)
 Zegen"
2024-01-21,Orgel,Arjan,"Stil gebed
 Votum en groet
 Zingen: Psalm 121:1 en 4
 Wetslezing
 Zingen: GK168: 1-4 (Vader, vol van vrees en schaamte)
 Gebed
 Lezen: Johannes 6:52-71
 Zingen: NLB 675: 1 en 2 (Geest van hierboven)
 Preek
 Zingen: GK177:1-4 (Heer u bent mijn leven)
 Gebed
 Mededelingen en Collecte
 Zingen: NLB 103c: 1, 2 en 5 (Loof de koning, heel mijn wezen)
 Zegen"
2024-01-28,Band,Abba,"Welkom en opening van de dienst
 Lied: 'In de naam van de Vader' (Opw. 720)
 Lied: 'Ik geloof in God de Vader' (Opw. 347)
Gebed voor de opening van het Woord
 Bijbellezing: Johannes 2,1-11
 Preek
 Antwoordlied: 'Op U alleen' (NLB 939)
 Luisterlied: 'Above all'
Voorbeden
 Openbare belijdens van het geloof
 Ja-woord, gevolgd door 
zegenlied
 (Opw. 710)
Viering van het Heilig Avondmaal
 Inleiding: Johannes 6,54-57
 Gebed en viering (lied: ‘Aan uw tafel’, Sela)
 Dankzegging: Psalm 136 (Psalm Project)
Slotlied: ‘er is een dag’
Zegen (collecte bij uitloop van de dienst)"
2024-02-04,KB,Marlies+ Pieter+ Bert,"Votum en groet
 Psalm 133 (Psalmen voor nu)
 Leefregels, Deuteronomium 6:4-18
Jezus vol liefde
, Gezang 233 in canon   
 Gebed
 Prediker 5:9-19
Vreugde van mijn hart
, Sela               
 1 Timotheüs 6:15-16
King of Kings
, Opwekking 137
 Prediker 5:17-19
 Preek
Komt laat ons vrolijk zingen
, Gezang 254                     
 Dankzeggen en voorbede
 Collecte
Dank, dankt nu allen God
, Nieuw liedboek 704
 Zegen
Vredevorst, uw schepping wacht
, Gezang 257:7"
2024-02-11,KB,Arend," van de kerkdienst:
Welkom! 
 Lied: 'k Stel mijn vertrouwen in de Heer mijn God (in Canon)
 Kinderen gaan naar de chrisclub
 Praatje
 Gebed
 Collecte en aankondigingen
 Slotlied: Samen in de naam van Jezus
 Zegen
{Uitloop naar bespreking in kleine groepen}"
2024-02-14,Orgel,Mattijs,"Opzet van de vesper op Aswoensdag:
 Openingswoorden (woord en antwoord) en begroeting namens God
 Psalm 130
 Gebed
 Eerste lezing: Joel 2,12-14
 Tweede lezing: 2 Korintiërs 5,19-6,2
 Psalm 103
 Evangelielezing: Matteüs 6,6-21
 Voorbereiding: de spiegel van Gods wet
 Gebeden om vergeving en ontferming
 Vrijspraak
 Zegenbede en uitloop (met de mogelijkheid om getekend te worden met het kruis van Christus)."
2024-02-18,Band,Cornerstone,"Opening van de dienst
 Lied: Kom nu is de tijd (Opw 539)
 Geloofsbelijdenis
 Lied: Heer u bent mijn leven (vers 1 en 3)
 Kinderlied: Hij is de rots!
 Bijbellezing: Matteüs 16,13-28
 Preek
 Lied: Fundament (Opw. 785)
 Bevestiging ambtsdragers
 Lied: Psalm 62:3,4 (DNB)
 Voorbeden
 Collecte
 Slotlied: Vervuld van Gods zegen (Liedboek 425)
 Zegen"
2024-02-25,KB,Koos,"Openingslied: Opw. 276 'Groot is de Heer'
 Zegengroet
 Opw. 464 'Weest stil voor het aangezicht van God, want Heilig is de Heer'
 Verootmoediging a.d.h.v. Mat 5 (bergrede)
 Lied: Opw. 840 'Heer, ik wacht op u'
 Gebed
 Lezing Johannes 13
 PvN 145 'God ik adem om van U te zingen'
 Preek over Johannes 13.12-15
 Lied: Opw 268 'Hij kwam bij ons heel gewoon'
 Gebed
 Collecte
 Lied: Opw. 807 ‘God van licht’
 Zegen"
2024-03-03,Orgel,Christoffel,"Welkom!
 Opening van de dienst
 Lied: Psalm 95:1 en 2 (DNP)
 Geloofsbelijdenis
 Lied: Psalm 95:3 (DNP)
 Kinderen gaan naar de chrisclubs 
 Gebed voor de opening van het Woord
 Bijbellezing: Matteüs 26,17-35
 Lied: Alles wat over ons geschreven staat (NLB 556)
 Preek
 Lied: Eens komt de grote zomer (NLB 747:1,2,4,7)
 Voorbeden en collecten
 Voorbereiding op de viering van het Heilig Avondmaal
 Lied: Heer wij komen vol verlangen (Gezang 360:1,2)
 Viering van het Heilig Avondmaal
 Dankzegging en slotlied: Heer onze God, geprezen zij (
NLB 870:1-3 en 6-8)
 Zegen"
2024-03-10,KB,Juliëtte,"Welkom!
 Opening van de dienst
 Lied: Zie hoe Jezus daar loopt (Opwekking 614)
 Leefregel: 1 Petrus 4,7-11
 Lied: Create in me a clean heart (naar Psalm 51 / Opwekking 389)
 Bediening van de Heilige Doop
 Antwoordlied: Ik zal er zijn (Sela)
 Bijbellezing: Marcus 14,32-42
 Preek
 Lied: Mijn hulp is van U, Heer (naar Psalm 121 / Opwekking 640)
 Mededelingen en voorbeden
 Collecte
 Slotlied: God ik adem om van u te zingen (Psalm 145 / Opwekking 734)
 Zegen"
2024-03-13,,,"Met je eigen kring aan de slag met het kringmateriaal over Bidden & Vasten.
 Eerder deelde ik kringmateriaal dat je kunt gebruiken om met je eigen kring een of meer bijeenkomsten te houden over (bidden en) vasten. Je vindt het materiaal ook in de groep 'veertig dagen tijd 2024'. "
2024-03-17,Band,VGSD,"Welkom
 Groet
 Zingen:  Opwekking 539: “Kom nu is de tijd”.
 Geloofsbelijdenis
 Kind moment (Groep 1, 2, 5 en 6)
 Zingen: Tot zeven maal zeventig maal (Elly en Rikkert)
 Gebed voor de opening van het Woord (Onze Vader)
 Lezing Exodus 32 : 7 – 14 en Mattheus 18 : 21 – 35
 Zingen: psalm 103: 1 en 3 (Nieuwe Psalmberijming)
 Preek
 Amenlied: Opwekking 629: “Als er vergeving is”.
 Collecte
 Zingen: opwekking 811: “Witter dan sneeuw”.
 Mededelingen
 Voorbedengebed
 Slotlied: Groot is uw trouw o Heer
 Zegen"
2024-03-24,Orgel,Arjan,"Opening van de dienst
 Psalm 118 (DNP): vers 5,6 en 7
 Leefregel: Matteüs 5,33-48
 Psalm 117d: 'Laudate omnes gentes!'
 (kinderen gaan naar de chrisclub)
 Bijbellezing: Marcus 14,66-72
 Lied: 'Alles wat over ons geschreven is' (NLB 556 vers 1 en 5)
 Preek
 Lied: 'Dit is een dag van zingen' (NLB 552)
 Collecte
 Voorbeden (met mogelijkheid om gebedspunten in te brengen)
 Slotlied: ‘Eens als de bazuinen klinken’
 Zegen, met als ‘amen’ NLB 415:3 (‘Amen, amen, amen! Dat wij niet beschamen …’)"
2024-03-25,,Jan,
2024-03-27,,Sander,
2024-03-29,KB,Arend,"Opening van de dienst
 Lied: Uw genade is mij genoeg (Opw. 614)
 Bijbellezing: Matteüs 27,27-50
 Luisterlied: Angnus Dei (Sela)
 Bijbellezing: Matteüs 26,47-54
 Overdenking
 Lied: Geef vrede, Heer, geef vrede
 Voorbeden
 Collecten
Slotlied: Jezus' leven van ons leven (NLB 575:1,2,6)
 Zegenbede"
2024-03-31,Band,A Capella,"Lied: Morning has broken. Tijdens het eerste lied wordt het Paaslicht binnengebracht. 
 Welkom en verdere opening van de dienst
 Lied: Juicht want Jezus is Heer/Hij is verheerlijkt
 Geloofsbelijdenis
 Antwoordlied: U bent heilig (Opw. 609 “... en ik leef alleen voor U”)
Gebed voor de opening van het Woord
 Bijbellezing: Johannes 20,1-10
 Overdenking - 
zien én geloven!?
 Antwoordlied: Mijn verlosser leeft! 
Openbare belijdenis en bediening van de Heilige Doop
 Lied na de doop: Oceans (Where Feet May Fail)
Mededelingen en voorbeden
 Collecte
Inleiding op het Heilig Avondmaal. 
 Lied: Aan Uw Tafel (Sela)
 Viering van de Maaltijd van Jezus
Dankzegging en slotlied: U zij de glorie / A toi la gloire / Thine be the glory (213) 
 Zegen"
2024-04-07,KB,Luuk,":
Welkom, Stil Gebed
 Votum en groet
 We zingen: Psalm 32 `Gelukkig wie door God is vrijgesproken’
 We luisteren naar het gebod: Romeinen 13:8-14
 We zingen: Gezang 462 `Ontwaak gij die slaapt’
 Gebed
 Gesprekje met de kinderen, vervolgens zingen we: `Weet je dat de lente komt?’ 
 Schriftlezing: Romeinen 6:1-14
 Preek: Anders leven, door Pasen
 We zingen: Opwekking 427 'Maak mij rein voor u'
 Mededelingen, inzameling van de gaven
 Gebeden
 We zingen: Opwekking 136 'Abba, Vader'
 Zegen"
2024-04-12,Orgel,Mattijs," Beste broers en zussen,
 Met grote vreugde kondigen wij, Sophie en Yordi, ons voorgenomen kerkelijk huwelijk aan. Dit zouden wij graag ook met jullie vieren. Op vrijdag 12 april willen wij ons huwelijk laten inzegenen in de Lutherse Kerk in Delft, gelegen aan Noordeinde 4. De ceremonie begint om 19:30 uur.
 Met liefde,
 Sophie en Yordi 
Locatie
Lutherse kerk
Noordeinde 4
Delft"
2024-04-14,Band,VGSD,"Welkom!
 Opening van de dienst
 Lied: Psalm 92:1,2 (DNP)
 Geloofsbelijdenis, gevolgd door:
 ‘Ontwaak gij die slaapt’ (uit het oude liedboek gezang 462, vers 1,2 en 4)
 Bediening van de Heilige Doop
 Psalm 72:7 (DNP)
Gebed voor de opening van het Woord
 Bijbellezing: Lucas 24,14-35
 Preek
 Psalm 91:1,3,4 (DNP)
Aankondigingen, collecten en voorbeden, afsluiten met:
 NLB 240 (wisselzang)
Slotlied: Christus onze Heer verrees (NLB 624)
 Zegen"
2024-04-21,KB,Lineke,"De kerkdienst wordt gehouden in de Immanuelkerk en wordt ook uitgezonden via Youtube
Klik 
hier
 om de dienst van deze week te bekijken"
2024-04-28,,,"Opening van de dienst
 Opw 349 Hij is verheerlijkt
 Geloofsbelijdenis
 Opw 575 Jezus alleen
 Kindermoment
 Kinderlied: Ik volg de Heer 
 Bijbellezing: Johannes 21,15-23
 Preek
 Psalm 23 (psalternatief) 
 Voorbeden en collecte
 Viering Heilig Avondmaal
 Dankzegging
 Slotlied: Opw 764 zegekroon
 Zegen"
2024-05-05,KB,Marnix,"Opening van de dienst
 Opw. 281/psalm 42: als een hert
 Leefregel: Lucas 4 / Galaten 5
 Psalm 1 (DNP) 
 Kindermoment
 Gebed voor de opening van het Woord
 Bijbellezing: 1 Petrus 2,1-17
 NLB 708:6 (6e couplet van het Wilhelmus)
 Preek
 Opw. 595: licht van de wereld
 Collecte en voorbeden
 Opw. 720: God maakt vrij
 Zegen"
2024-05-09,Orgel,Jan,"Opening van de dienst: welkom!
 Openingspsalm: Psalm 47 (DNP)
 Wat is Hemelvaart? Introductie op de viering van Hemelvaart
 Lied: Al heeft Hij ons verlaten (NLB 663)
Kinderkunst Kidz678
Gebed voor de opening van het Woord
 Eerste lezing: Lucas 24,36-53
 Lied: Thy hand o God has guided (vers 1)
 Tweede lezing: 1 Petrus 1,22 - 2,10
 Lied: Thy hand o God has guided (vers 3)
 Preek
 Psalm 118:1,2,6,7 (DNP) 
Collecte en voorbeden
 Slotlied: NLB 675:1
 Zegen (en gezongen amen)"
2024-05-12,Band,Cornerstone,"Stil voor God        
 Votum en Groet
 Zingen PsalmProject 27
 Leefregels
 Zingen Gezang 449 (Liedboek 1973)
 Kinderlied Vertel het aan de mensen    
 Gebed
 Schriftlezing Efeze 1:15-23
    Lucas 24:44-49 – BiGT*
 Zingen Psalm 68:6a/7b (DNP)
 Verkondiging
 Zingen Opwekking 689
 Dankgebed
 Collecte        
 Slotzang Hemelse gave(Sela)
 Zegen"
2024-05-19,Band,Abba,"Opening van de dienst: welkom!
 Lied: Hoe groot is uw trouw, o Heer (Opw. 708)
 Leefregel: Johannes 15,9-17
 Lied: Kom Heilige Geest (Sela)
 Kindermoment
 Gebed voor de opening van het Woord
 Bijbellezing: Johannes 14,15-26
 Lied: Geest van hierboven (NLB 675:1)
 Preek
 Lied: Heer u doorgrondt en kent mij (Opw. 518/Psalm 139)
 Voorbeden en collecte
 Lied: Familie (Opw. 767/Psalm 133)
 Viering Heilig Avondmaal
 Dankzegging en slotlied: Mijn Jezus, mijn redder (Opw. 461)
 Zegen"
2024-05-26,Orgel,Christoffel,"Stil gebed
 Votum en groet
 Psalm 100:1,2,3 (DNP) ‘Juich, heel de aarde, voor de HEER’
 Geloofsbelijdenis: LB 342 ‘In God de Vader op zijn troon’
 Gebed
 Moment met de kinderen
 Jesaja 42,1-13
 Psalm 146:3,4,5 (DNP) ‘Wie op Jakobus God blijft bouwen’
 Mattëus 11,25-30
 LB 936:1,2,3 ‘Luister naar de wind’
 Verkondiging over Jesaja 42,3 ‘Gods Zoon zet alles recht’
 LB 459:1,4,5,7 ‘Ik breng een rechter aan het licht’
 Dankzegging en voorbede
 Inzameling van de gaven voor African Mission
 Opwekking 805 ‘Maak ons hart onrustig, God’
 Zegen"
2024-06-02,KB,A Capella KB,"Opening van de dienst
 Psalmen voor Nu 121
 Geloofsbelijdenis
 Lied: Agnus Dei (Michael W Smith | Hallelujah - for the Lord God almighty reigns)
 Met de kinderen
 Lied voorafgaand aan de bijbellezing: Verwachten (Sela - opw. 780)
 Bijbellezing: Johannes 15,1-17
 Preek
 Lied: Opw. 427 - Maak mij rein voor U.
 Collecte 
 Voorbeden - mogelijkheid om gebedspunten in te brengen
 Slotlied: Hoor ons loflied, Heer! (Opw. 553)
 Zegen"
2024-06-07,,,"Opening vd dienst
 Lied - Met open armen (SvG)
 Gebed
 Lezen - Psalm 37: 1-6
 Lied - Wat de toekomst brengen mogen (Reisgenoten)
 Preek
 Antwoordlied - Onze Schuilplaats is God (Mozaiek Worship)
 Inleiding huwelijk
 Geloften & inzegening
 Zegenlied - The Blessing
 Collecte & uitreiken trouwbijbel
 Slotlied - Adembenemend (Opwekking)
 Zegen
 Lied - Zegenkroon (Opwekking)
Locatie
Immanuelkerk"
